date,time,weekday,id,age,gender,education_level,environmental_responsibility,returns_count,disposal_location,disposal_distance,injury_estimate,infrastructure_damage_estimate,pollution_estimate,fin_losses_estimate,material_losses_estimate,deposit_incentive_rating,distance_incentive_rating,education_incentive_rating,removable_incentive_rating,battery_fires_knowledge,has_read_fire_text,second_education_rating_after_reading
2025-05-13,11:39:54,Tuesday,1,23,Female,4,4,4,Electronic waste collection point,300,4,4,5,3,5,4,5,5,5,Partially,No,NA
2025-05-15,12:48:00,Thursday,2,25,Male,5,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",500,1,2,3,1,5,5,3,2,5,No,No,NA
2025-05-15,12:53:03,Thursday,3,23,Male,4,3,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",5,3,3,3,2,4,5,2,3,4,Partially,No,NA
2025-05-15,12:54:26,Thursday,4,26,Prefer not to say,4,5,0,Other,0,5,5,5,5,5,5,5,5,5,Partially,No,NA
2025-05-15,13:02:03,Thursday,5,24,Other,4,1,0,Electronic waste collection point,200,3,1,5,1,4,3,1,3,5,No,No,NA
2025-05-15,13:20:47,Thursday,6,23,Female,5,5,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",1000,2,2,5,2,5,2,4,4,4,Partially,No,NA
2025-05-15,13:28:39,Thursday,7,25,Prefer not to say,4,4,1,"Designated battery bin at Coop, Migros, Denner or Kkiosk",100,3,1,4,2,4,4,3,3,3,No,No,NA
2025-05-15,13:35:08,Thursday,8,20,Male,4,5,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",2000,2,2,4,2,4,1,2,1,4,No,No,NA
2025-05-15,13:37:11,Thursday,9,25,Prefer not to say,3,5,5,Regular trash,0,1,1,1,5,5,5,2,5,5,No,No,NA
2025-05-19,09:33:28,Monday,10,24,Female,4,4,1,Electronic waste collection point,100,3,4,5,3,5,4,4,4,5,Partially,No,NA
2025-05-19,14:11:47,Monday,11,26,Female,4,5,2,"Designated battery bin at Coop, Migros, Denner or Kkiosk",300,3,1,5,1,4,3,1,3,5,No,No,NA
2025-05-19,14:22:14,Monday,12,25,Male,5,4,2,"Designated battery bin at Coop, Migros, Denner or Kkiosk",50,4,3,5,2,3,5,2,3,4,No,No,NA
2025-05-19,15:25:51,Monday,13,25,Male,4,3,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",300,5,3,4,1,2,3,2,3,3,No,No,NA
2025-05-19,15:29:42,Monday,14,24,Female,4,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",50,4,3,4,3,5,4,5,2,2,Partially,No,NA
2025-05-19,19:54:35,Monday,15,26,Male,4,4,3,Other,500,4,3,5,1,3,1,5,3,5,No,Yes,3
2025-05-20,11:08:42,Tuesday,16,26,Prefer not to say,4,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",300,3,2,5,1,3,3,4,3,4,No,Yes,4
2025-05-24,13:59:52,Saturday,17,18,Female,1,4,1,Electronic waste collection point,1000,3,5,4,2,5,3,3,5,3,No,Yes,3
2025-05-24,14:03:25,Saturday,18,24,Male,3,4,0,Electronic waste collection point,100,2,1,4,2,3,1,2,5,3,No,Yes,4
2025-05-24,14:11:53,Saturday,19,25,Female,4,4,1,"Designated battery bin at Coop, Migros, Denner or Kkiosk",30,5,4,5,3,5,5,2,2,5,No,No,NA
2025-05-24,14:24:11,Saturday,20,25,Female,2,5,1,"Designated battery bin at Coop, Migros, Denner or Kkiosk",1000,4,4,5,4,5,5,5,4,5,No,Yes,5
2025-05-24,14:27:14,Saturday,21,53,Female,5,4,2,"Designated battery bin at Coop, Migros, Denner or Kkiosk",100,4,3,5,3,4,4,4,5,5,No,No,NA
2025-05-24,14:29:05,Saturday,22,56,Male,3,4,1,"Designated battery bin at Coop, Migros, Denner or Kkiosk",100,4,3,5,3,5,3,4,5,5,No,Yes,5
2025-05-24,14:38:37,Saturday,23,20,Male,2,3,3,"Designated battery bin at Coop, Migros, Denner or Kkiosk",1200,4,4,5,4,5,3,3,5,5,Partially,Yes,5
2025-05-24,15:51:48,Saturday,24,25,Male,4,3,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",50,1,1,5,4,4,4,1,1,2,No,No,NA
2025-05-24,16:09:36,Saturday,25,25,Female,4,4,1,"Designated battery bin at Coop, Migros, Denner or Kkiosk",150,2,2,5,2,4,2,4,4,4,No,No,NA
2025-05-24,16:17:56,Saturday,26,25,Female,4,5,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",500,5,4,5,4,4,4,3,5,5,Partially,No,NA
2025-05-24,16:36:18,Saturday,27,25,Female,4,4,1,"Designated battery bin at Coop, Migros, Denner or Kkiosk",350,4,4,5,3,5,2,5,5,2,Partially,Yes,3
2025-05-24,19:23:43,Saturday,28,25,Female,5,5,1,"Designated battery bin at Coop, Migros, Denner or Kkiosk",1500,5,3,5,2,3,3,2,4,5,Partially,Yes,4
2025-05-24,23:47:54,Saturday,29,22,Male,2,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",200,4,2,4,4,3,4,2,4,5,No,Yes,5
2025-05-25,12:00:42,Sunday,30,26,Male,4,4,0,Regular trash,500,1,1,3,4,4,4,4,2,2,No,No,NA
2025-05-25,12:04:23,Sunday,31,25,Female,4,4,1,"Designated battery bin at Coop, Migros, Denner or Kkiosk",300,4,4,5,3,4,4,4,3,4,Partially,No,NA
2025-05-26,13:48:06,Monday,32,25,Female,2,3,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",100,4,4,5,3,4,4,5,4,3,Partially,Yes,3
2025-05-27,09:01:49,Tuesday,33,25,Male,5,5,1,"Designated battery bin at Coop, Migros, Denner or Kkiosk",0,3,1,3,1,4,3,1,3,3,No,No,NA
2025-05-27,09:35:18,Tuesday,34,25,Female,4,4,0,Other,500,4,3,5,3,4,3,3,5,5,No,Yes,5
2025-05-30,11:31:01,Friday,35,25,Male,4,5,1,"Designated battery bin at Coop, Migros, Denner or Kkiosk",250,4,3,5,3,5,5,1,4,5,Partially,No,NA
