Timestamp,What is your age?,What is your gender,What your highest completed level of your education?,How important is environmental responsibility to you,How many times have you returned portable batteries in the last 6 months?,Where do you mostly dispose of used batteries?,How far do you have to walk to return batteries in meters?,Risk to Human Life and Injury,Major Property and Infrastructure Damage,Environmental Pollution,Severe Financial Losses,Loss of raw material,Introducing a deposit of CHF 0.50 per battery.,Halving the distance to your next collection point.,Education campaigns about the consequences of improper disposal.,Batteries can be removed from all devices without tools.,Did you know that improper battery recycling causes increasingly more fires in waste facilities each year?,Have you read the text in the description?,Rate the likelihood of an Education campaign with this information increasing your motivation to recycle.
2025-05-13T11:39:54Z,23,Female,Level 4,4,4,Electronic waste collection point,300,4,4,5,3,5,4,5,5,5,Partially,No,NA
2025-05-15T12:48:00Z,25,Male,Level 5,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",500,1,2,3,1,5,5,3,2,5,No,No,NA
2025-05-15T12:53:03Z,23,Male,Level 4,3,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",5,3,3,3,2,4,5,2,3,4,Partially,No,NA
2025-05-15T12:54:26Z,26,Prefer not to say,Level 4,5,0,Other,0,5,5,5,5,5,5,5,5,5,Partially,No,NA
2025-05-15T13:02:03Z,24,Other,Level 4,1,0,Electronic waste collection point,200,3,1,5,1,4,3,1,3,5,No,No,NA
2025-05-15T13:20:47Z,23,Female,Level 5,5,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",1000,2,2,5,2,5,2,4,4,4,Partially,No,NA
2025-05-15T13:28:39Z,25,Prefer not to say,Level 4,4,1,"Designated battery bin at Coop, Migros, Denner or Kkiosk",100,3,1,4,2,4,4,3,3,3,No,No,NA
2025-05-15T13:35:08Z,20,Male,Level 4,5,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",2000,2,2,4,2,4,1,2,1,4,No,No,NA
2025-05-15T13:37:11Z,25,Prefer not to say,Level 3,5,5,Regular trash,0,1,1,1,5,5,5,2,5,5,No,No,NA
2025-05-19T09:33:28Z,24,Female,Level 4,4,1,Electronic waste collection point,100,3,4,5,3,5,4,4,4,5,Partially,No,NA
2025-05-19T14:11:47Z,26,Female,Level 4,5,2,"Designated battery bin at Coop, Migros, Denner or Kkiosk",300,3,1,5,1,4,3,1,3,5,No,No,NA
2025-05-19T14:22:14Z,25,Male,Level 5,4,2,"Designated battery bin at Coop, Migros, Denner or Kkiosk",50,4,3,5,2,3,5,2,3,4,No,No,NA
2025-05-19T15:25:51Z,25,Male,Level 4,3,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",300,5,3,4,1,2,3,2,3,3,No,No,NA
2025-05-19T15:29:42Z,24,Female,Level 4,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",50,4,3,4,3,5,4,5,2,2,Partially,No,NA
2025-05-19T19:54:35Z,26,Male,Level 4,4,3,Other,500,4,3,5,1,3,1,5,3,5,No,Yes,3
2025-05-20T11:08:42Z,26,Prefer not to say,Level 4,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",300,3,2,5,1,3,3,4,3,4,No,Yes,4
2025-05-24T13:59:52Z,18,Female,Level 1,4,1,Electronic waste collection point,1000,3,5,4,2,5,3,3,5,3,No,Yes,3
2025-05-24T14:03:25Z,24,Male,Level 3,4,0,Electronic waste collection point,100,2,1,4,2,3,1,2,5,3,No,Yes,4
2025-05-24T14:11:53Z,25,Female,Level 4,4,1,"Designated battery bin at Coop, Migros, Denner or Kkiosk",30,5,4,5,3,5,5,2,2,5,No,No,NA
2025-05-24T14:24:11Z,25,Female,Level 2,5,1,"Designated battery bin at Coop, Migros, Denner or Kkiosk",1000,4,4,5,4,5,5,5,4,5,No,Yes,5
2025-05-24T14:27:14Z,53,Female,Level 5,4,2,"Designated battery bin at Coop, Migros, Denner or Kkiosk",100,4,3,5,3,4,4,4,5,5,No,No,NA
2025-05-24T14:29:05Z,56,Male,Level 3,4,1,"Designated battery bin at Coop, Migros, Denner or Kkiosk",100,4,3,5,3,5,3,4,5,5,No,Yes,5
2025-05-24T14:38:37Z,20,Male,Level 2,3,3,"Designated battery bin at Coop, Migros, Denner or Kkiosk",1200,4,4,5,4,5,3,3,5,5,Partially,Yes,5
2025-05-24T15:51:48Z,25,Male,Level 4,3,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",50,1,1,5,4,4,4,1,1,2,No,No,NA
2025-05-24T16:09:36Z,25,Female,Level 4,4,1,"Designated battery bin at Coop, Migros, Denner or Kkiosk",150,2,2,5,2,4,2,4,4,4,No,No,NA
2025-05-24T16:17:56Z,25,Female,Level 4,5,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",500,5,4,5,4,4,4,3,5,5,Partially,No,NA
2025-05-24T16:36:18Z,25,Female,Level 4,4,1,"Designated battery bin at Coop, Migros, Denner or Kkiosk",350,4,4,5,3,5,2,5,5,2,Partially,Yes,3
2025-05-24T19:23:43Z,25,Female,Level 5,5,1,"Designated battery bin at Coop, Migros, Denner or Kkiosk",1500,5,3,5,2,3,3,2,4,5,Partially,Yes,4
2025-05-24T23:47:54Z,22,Male,Level 2,4,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",200,4,2,4,4,3,4,2,4,5,No,Yes,5
2025-05-25T12:00:42Z,26,Male,Level 4,4,0,Regular trash,500,1,1,3,4,4,4,4,2,2,No,No,NA
2025-05-25T12:04:23Z,25,Female,Level 4,4,1,"Designated battery bin at Coop, Migros, Denner or Kkiosk",300,4,4,5,3,4,4,4,3,4,Partially,No,NA
2025-05-26T13:48:06Z,25,Female,Level 2,3,0,"Designated battery bin at Coop, Migros, Denner or Kkiosk",100,4,4,5,3,4,4,5,4,3,Partially,Yes,3
2025-05-27T09:01:49Z,25,Male,Level 5,5,1,"Designated battery bin at Coop, Migros, Denner or Kkiosk",0,3,1,3,1,4,3,1,3,3,No,No,NA
2025-05-27T09:35:18Z,25,Female,Level 4,4,0,Other,500,4,3,5,3,4,3,3,5,5,No,Yes,5
2025-05-30T11:31:01Z,25,Male,Level 4,5,1,"Designated battery bin at Coop, Migros, Denner or Kkiosk",250,4,3,5,3,5,5,1,4,5,Partially,No,NA
